No.;Time;Comment;Scramble;Date;P.1
1;15.46;; (4,0)/ (-3,0)/ (-1,5)/ (3,-3)/ (3,0)/ (6,0)/ (-5,0)/ (0,-3)/ (-3,0)/ (0,-4)/ (2,0)/ (-2,0)/ (-4,-5)/ (0,-5)/;2026-01-01 14:36:18;15.46
2;12.37;; (0,5)/ (-2,-5)/ (-1,2)/ (3,0)/ (-2,-2)/ (3,-1)/ (6,-3)/ (1,-3)/ (-1,0)/ (4,0)/ (-4,-1)/ (2,0);2026-01-01 14:36:47;12.37
3;20.63;; (3,-1)/ (0,-3)/ (0,3)/ (3,0)/ (4,-2)/ (3,0)/ (-1,-3)/ (-3,0)/ (0,-1)/ (2,0)/ (-2,-2)/ (0,-1)/ (-2,0);2026-01-01 14:37:54;20.63
4;11.42;CSP; (0,2)/ (3,0)/ (-5,4)/ (5,-1)/ (3,0)/ (0,-3)/ (-2,-3)/ (0,-3)/ (3,0)/ (6,0)/ (0,-3)/ (0,-1)/;2026-01-01 14:38:52;11.42
5;17.97;; (0,-4)/ (4,4)/ (0,-3)/ (3,0)/ (5,-1)/ (-2,0)/ (0,-3)/ (-1,0)/ (4,0)/ (0,-4)/ (-4,0)/ (-4,-3);2026-01-01 14:39:34;17.97
6;14.36;; (3,2)/ (1,-5)/ (-3,0)/ (5,-1)/ (3,0)/ (0,-3)/ (0,-5)/ (0,-3)/ (-2,0)/ (5,0)/ (4,0)/ (0,-5)/ (-4,0)/ (-2,-4);2026-01-01 14:40:11;14.36
7;15.22;; (1,3)/ (5,2)/ (-3,-3)/ (3,0)/ (1,-5)/ (-1,0)/ (3,0)/ (-5,0)/ (-4,0)/ (2,0)/ (-2,0)/ (6,0)/ (-4,0);2026-01-01 14:40:39;15.22
8;15.35;; (4,3)/ (2,-1)/ (-5,-2)/ (0,-3)/ (-3,0)/ (0,-1)/ (-3,-3)/ (-5,0)/ (2,-2)/ (-4,-5)/ (4,-5)/ (0,-5);2026-01-01 14:41:18;15.35
9;16.02;; (0,-1)/ (4,-5)/ (0,-3)/ (-4,-1)/ (4,-2)/ (-3,0)/ (5,0)/ (3,0)/ (1,0)/ (4,0)/ (2,0)/ (2,0)/ (-5,0)/ (6,0)/;2026-01-01 14:41:54;16.02
10;13.76;; (-2,0)/ (0,-3)/ (-1,-4)/ (3,0)/ (-3,0)/ (-2,-5)/ (2,0)/ (0,-3)/ (0,-3)/ (0,-2)/ (-2,0)/ (2,-2)/ (0,-2)/ (3,0)/;2026-01-01 14:42:35;13.76
11;18.73;; (1,0)/ (-3,3)/ (0,-3)/ (3,0)/ (-1,-4)/ (-5,-2)/ (5,0)/ (3,0)/ (-3,-4)/ (1,0)/ (6,0)/ (0,-4)/ (0,-1)/;2026-01-01 14:43:22;18.73
12;16.07;; (0,2)/ (0,3)/ (-2,1)/ (-3,0)/ (6,0)/ (-1,-1)/ (-5,-3)/ (0,-3)/ (-3,-2)/ (-4,-2)/ (0,-2)/ (-3,0);2026-01-01 14:44:00;16.07
13;10.67;; (-5,3)/ (-4,-1)/ (-5,-2)/ (2,-4)/ (0,-3)/ (-2,0)/ (3,0)/ (-3,0)/ (-1,-5)/ (0,-2)/ (3,0)/ (6,-2);2026-01-01 14:44:33;10.67
14;20.20;; (1,0)/ (0,3)/ (0,3)/ (-3,-3)/ (2,-1)/ (3,-2)/ (3,0)/ (1,-4)/ (4,0)/ (-3,0)/ (-2,0)/ (-1,-4)/;2026-01-01 14:44:59;20.20
